,ID,q2a,q2b,q2c,rpa101,rpa102,rpa103,rpa104,rpa105,rpa106,rpa107,rpa2,rpb1,rpb2,rpb3,rpb4,rpb5,rpb6,rpc,rpd,fs1q2,fs1q3a,fs1q3b,fs1q3c,fs1q4,fs1q5,fs1q6,fs1q6q,fs1q7,fs1q7q,fs1a1,fs1a2a,fs1a2b,fs1a3a,fs1a3b,fs1a4a,fs1a4b,fs1a5,fs1a6a,fs1a6b,fs1a6c,fs1a7,fs1b1,fs1b2,fs1b3,fs1b4,fs1b5,fs1b6,fs1b7,fs1b8,fs1b9,fs1b10,fs1b11,fs1b12,fs1b13,fs1b14,fs1b15,fs1b16,fs1b17,fs1b18,fs1b19,fs1b20,fs1b21,fs1b22,fs1b23,fs1c1z,fs1c1y,fs1c1a1,fs1c1a2,fs1c1b,fs1c1c1,fs1c1c1q,fs1c1c2,fs1c1c2q,fs1c1d10,fs1c1d11,fs1c1d12,fs1c1d13,fs1c1d14,fs1c1d15,fs1c1d16,fs1c1d17,fs1c1d18,fs1c1d19,fs1c1d20,fs1c1d21,fs1c1d22,fs1c1d23,fs1c1d24,fs1c1d25,fs1c1d26,fs1c1d27,fs1c1d28,fs1c1d29,fs1c1e1,fs1c1e2,fs1c1e3,fs1c1e4,fs1c1f1,fs1c1f2,fs1c2x,fs1c2y,fs1c2a,fs1c2b,fs1c2c,fs1c301,fs1c301q,fs1c302,fs1c302q,fs1c303,fs1c303q,fs1c304,fs1c304q,fs1c305,fs1c305q,fs1c306,fs1c306q,fs1c307,fs1c307q,fs1c308,fs1c308q,fs1c309,fs1c309q,fs1c4,fs1c4a,fs1c4b,fs1c4c,fs1c5a,fs1c5b,fs1c6a1,fs1c6a1a,fs1c6a1b,fs1c6a2,fs1c6a2a,fs1c6a2b,fs1c6b1,fs1c6b1a,fs1c6b1b,fs1c6b2,fs1c6b2a,fs1c6b2b,fs1c6c1,fs1c6c1a,fs1c6c1b,fs1c6c2,fs1c6c2a,fs1c6c2b,fs1c7,fs1c8,fs1d1z,fs1d1y,fs1d1a1,fs1d1a2,fs1d2z,fs1d2y,fs1d2a,fs1d3,fs1e1,fs1e2,fs1e3,fs1e3q,fs1e4,fs1e5,fs1e6,fs1e6q,fs1e7,fs1e8,fs1e9,fs1e9q,fs1e10,fs1e10q,fs1wa1,fs1wa2,fs1wa3,fs1wa4,fs1wa5,fs1wb1,fs1wb2,fs1wc1,fs1wc2,fs1wc3,fs1wc4,fs1wc5,fs1wc6,fs1wc7,fs1wc8,fs1wc9,fs1wc10,fs1wc11,fs1wc12,fs1wc13,fs1wc14,fs1wc15,fs1wc16,fs1wc17,fs1ct1,fs1ct2,fs1ct3a,fs1ct3b,fs1ct4a,fs1ct4b,fs1ct5a,fs1ct5b,fs1ct6z1,fs1ct6z2,fs1ct6z3,fs1ct6z4,fs1ct6z5,fs1ct6z6,fs1ct6y1,fs1ct6y2,fs1ct6y3,fs1ct6y4,fs1ct6y5,fs1ct6y6,fs1ct7z1,fs1ct7z2,fs1ct7y1,fs1ct7y2,fs2a1z,fs2a1y,fs2a1a1,fs2a1a2,fs2a1b,fs2a1c1,fs2a1c1q,fs2a1c2,fs2a1c2q,fs2a1d10,fs2a1d11,fs2a1d12,fs2a1d13,fs2a1d14,fs2a1d15,fs2a1d16,fs2a1d17,fs2a1d18,fs2a1d19,fs2a1d20,fs2a1d21,fs2a1d22,fs2a1d23,fs2a1d24,fs2a1d25,fs2a1d26,fs2a1d27,fs2a1d28,fs2a1d29,fs2a1e1,fs2a1e2,fs2a1e3,fs2a1e4,fs2a1f1,fs2a1f2,fs2a2x,fs2a2y,fs2a2a,fs2a2b,fs2a2c,fs2a301,fs2a301q,fs2a302,fs2a302q,fs2a303,fs2a303q,fs2a304,fs2a304q,fs2a305,fs2a305q,fs2a306,fs2a306q,fs2a307,fs2a307q,fs2a308,fs2a308q,fs2a309,fs2a309q,fs2a4,fs2a4a,fs2a4b,fs2a4c,fs2a5a,fs2a5b,fs2a6a1,fs2a6a1a,fs2a6a1b,fs2a6a2,fs2a6a2a,fs2a6a2b,fs2a6b1,fs2a6b1a,fs2a6b1b,fs2a6b2,fs2a6b2a,fs2a6b2b,fs2a6c1,fs2a6c1a,fs2a6c1b,fs2a6c2,fs2a6c2a,fs2a6c2b,fs2a7,fs2a8,fs2b1z,fs2b1y,fs2b1a1,fs2b1a2,fs2b2z,fs2b2y,fs2b2a,fs2b3,fs2c1,fs2c2,fs2c3,fs2c3q,fs2c4,fs2c5,fs2c6,fs2c6q,fs2c7,fs2c8,fs2c9,fs2c9q,fs2c10,fs2c10q,fs2wa1,fs2wa2,fs2wa3,fs2wa4,fs2wa5,fs2wb1,fs2wb2,fs2wc1,fs2wc2,fs2wc3,fs2wc4,fs2wc5,fs2wc6,fs2wc7,fs2wc8,fs2wc9,fs2wc10,fs2wc11,fs2wc12,fs2wc13,fs2wc14,fs2wc15,fs2wc16,fs2wc17,fs2ct1,fs2ct2,fs2ct3a,fs2ct3b,fs2ct4a,fs2ct4b,fs2ct5a,fs2ct5b,fs2ct6z1,fs2ct6z2,fs2ct6z3,fs2ct6z4,fs2ct6z5,fs2ct6z6,fs2ct6y1,fs2ct6y2,fs2ct6y3,fs2ct6y4,fs2ct6y5,fs2ct6y6,fs2ct7z1,fs2ct7z2,fs2ct7z3,fs2ct7y1,fs2ct7y2,fs2ct7y3,Unnamed: 0,WOMAC_00,WOMAC_01,WOMAC_02,WOMAC_03,slope
312,SY-82,2018,1,6,2,3,3,2,2,2,2,2,1,1,1,2,1,1,2,3,2,1950,4,13,67,4,1,,3,,3,2,2,1,2,1,1,2,2,2,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,办公室,48,1,1,66,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,2,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,2,2,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,2,2,2,2,2,2,1,1,#NULL!,1,2,1,1,,1,1,#NULL!,,1,1,1,,1,,2,3,1,1,2,4,2,4,4,3,2,2,2,4,3,2,3,2,2,3,1,2,4,2,166,53.0,2,2,1,1,1,1,5,5,4,5,5,5,5,5,4,5,5,5,120,0,120,0,1,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,办公室,18,1,1,60,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,2,18,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,1,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,2,2,2,2,2,2,1,1,0,1,1,1,1,,1,1,#NULL!,,1,1,1,,1,,2,3,1,1,2,4,2,4,4,3,2,2,2,4,3,2,3,2,2,3,1,2,4,2,166,53,2,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,120,0,0,120,0,0,1240,60.0,60.0,65.0,67.0,2.6
313,SY-84,2018,1,6,2,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1964,7,17,53,2,1,,2,,4,3,2,1,2,1,1,3,2,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,文案,25,1,1,50,2,25,1,#NULL!,2,25,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,1,2,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,4,2,1,1,1,1,1,1,#NULL!,1,2,1,1,,1,1,#NULL!,,1,1,1,,1,,1,3,5,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,156,65.0,2,#NULL!,1,#NULL!,2,#NULL!,5,5,5,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,95,0,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,文案,25,1,1,50,2,25,1,#NULL!,2,25,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,1,2,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,4,2,1,1,1,1,1,1,10,1,2,1,1,,1,1,#NULL!,,1,1,1,,1,,1,3,4,1,1,2,1,3,3,2,2,1,1,1,1,1,1,1,2,1,1,2,4,3,156,65,2,2,1,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,95,0,0,100,0,0,1242,33.0,43.0,51.0,48.0,5.3
314,SY-85,2018,1,6,2,2,1,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1963,10,4,54,4,1,,3,,3,2,2,2,2,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,1,2015,8,4,6,,#NULL!,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,2,护理,30,3,2,55,1,#NULL!,1,#NULL!,2,30,1,#NULL!,1,#NULL!,1,#NULL!,2,30,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,1,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,1,2,1,2,#NULL!,2,1,#NULL!,1,2,1,1,,2,1,#NULL!,,1,1,1,,1,,3,3,1,2,2,2,2,3,2,2,2,1,2,3,2,2,2,2,2,3,3,3,3,2,164,71.0,2,2,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,125,5,125,5,1,2,2018,12,4,#NULL!,,6,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,护理,31,3,2,#NULL!,1,#NULL!,1,#NULL!,2,31,1,#NULL!,1,#NULL!,1,#NULL!,2,31,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,1,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,2,1,1,2,1,1,1,2,1,1,1,1,1,,1,1,#NULL!,,1,1,1,,1,,3,3,1,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,3,3,3,3,2,164,70,2,2,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,125,0,5,125,0,5,1243,54.0,56.0,50.0,50.0,-1.8
315,SY-86,2018,1,6,2,2,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1945,9,26,73,4,1,,3,,4,2,2,2,2,2,2,4,2,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,1,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,管理,35,1,1,60,1,#NULL!,1,#NULL!,2,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,2,#NULL!,1,#NULL!,2,#NULL!,1,#NULL!,#NULL!,,4,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,4,2,2,2,2,3,1,2,30,2,2,1,1,,2,1,#NULL!,,1,1,1,,1,,3,4,1,1,2,3,2,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,4,3,160,60.0,2,2,1,1,1,1,5,5,5,5,5,5,#NULL!,5,5,5,5,5,120,0,95,5,1,1,#NULL!,#NULL!,4,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,管理,35,1,1,60,1,#NULL!,1,#NULL!,2,35,1,#NULL!,1,#NULL!,1,#NULL!,2,35,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,4,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,4,2,2,2,1,1,2,2,30,1,2,1,2,氨糖,2,1,#NULL!,,1,1,2,膏药,1,,3,3,1,1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,160,60,2,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,110,0,0,110,0,0,1244,70.0,64.0,64.0,64.0,-1.8
316,SY-87,2018,1,6,2,2,3,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1957,2,6,60,2,1,,3,,2,3,3,2,2,1,1,3,3,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,2,1,2013,4,4,6,,#NULL!,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,文案,30,1,1,50,1,#NULL!,1,#NULL!,2,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,2,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,1,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,2,2,1,1,1,1,2,2,2,1,1,1,1,,2,1,#NULL!,,1,1,1,,1,,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,157,62.0,2,#NULL!,1,#NULL!,1,#NULL!,5,5,5,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,100,0,#NULL!,#NULL!,1,1,#NULL!,#NULL!,4,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,文案,30,1,1,50,1,#NULL!,1,#NULL!,2,30,1,#NULL!,1,#NULL!,1,#NULL!,2,30,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,1,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,2,2,1,1,1,1,2,1,1,1,1,1,1,,1,1,#NULL!,,2,1,1,,1,,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,157,63,2,2,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,110,0,5,110,0,5,1245,31.0,31.0,30.0,26.0,-1.6
317,SY-88,2018,1,6,2,2,3,2,1,2,2,2,1,1,1,1,1,1,2,1,2,1943,4,24,75,4,1,,3,,4,3,2,1,2,1,1,3,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,,1,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,#NULL!,#NULL!,#NULL!,1,1,教师,30,4,1,60,1,#NULL!,1,#NULL!,2,#NULL!,#NULL!,30,1,#NULL!,1,#NULL!,2,30,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,3,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,4,2,2,1,1,1,2,1,4,1,1,1,1,,1,1,#NULL!,,1,1,1,,1,,2,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,156,59.1,2,2,2,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,125,5,125,5,1,1,#NULL!,#NULL!,4,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,教师,30,4,1,60,1,#NULL!,1,#NULL!,2,30,1,#NULL!,1,#NULL!,1,#NULL!,2,30,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,3,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,4,2,1,1,1,1,2,1,1,1,1,1,1,,1,1,#NULL!,,1,1,1,,1,,2,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,156,60,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,125,0,5,125,0,5,1246,29.0,31.0,28.0,28.0,-0.6
318,SY-90,2018,1,6,2,2,3,2,2,1,2,2,1,1,1,1,1,1,2,2,2,1959,12,20,58,3,1,,3,,4,2,2,1,2,1,2,3,2,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,坐着办公,25,1,2,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,3,3,1,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,2,1,1,2,2,2,2,7,1,1,1,1,,2,1,#NULL!,,1,2,2,按摩,1,,1,2,2,2,2,2,2,2,2,2,1,1,1,2,3,1,1,1,1,1,2,2,3,2,158,74.0,2,2,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,120,0,120,0,1,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,4,1,办公室,26,1,2,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,3,3,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,2,2,2,2,2,2,2,2,6,1,2,1,1,,1,2,2,,#NULL!,1,2,小针刀,1,,1,3,1,2,2,2,2,3,3,2,2,1,2,2,2,1,2,1,1,2,1,2,2,1,158,72,2,2,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,120,0,0,120,0,0,1249,41.0,43.0,39.0,39.0,-1.0
319,SY-92,2018,1,6,2,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1964,2,7,53,3,1,,#NULL!,,4,3,3,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,专业技术人员,36,3,2,#NULL!,1,#NULL!,1,#NULL!,2,36,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,2,4,20,,1,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,2,1,2,2,1,1,1,1,#NULL!,1,1,1,1,,1,1,#NULL!,,1,1,1,,1,,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,175,65.0,2,2,1,1,1,1,5,5,5,5,5,5,#NULL!,5,5,5,5,5,120,0,120,0,1,1,#NULL!,#NULL!,4,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,专业技术人员,37,3,2,#NULL!,1,#NULL!,1,#NULL!,2,37,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,2,4,21,,1,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,2,1,1,1,1,1,1,2,3,1,1,1,1,,1,1,#NULL!,,1,1,1,,1,,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,175,70,2,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,120,0,5,120,0,5,1251,32.0,36.0,30.0,30.0,-1.2
320,SY-93,2018,1,6,2,2,3,2,1,1,2,2,1,1,1,1,1,1,2,2,2,1975,10,2,42,4,1,,1,,3,3,3,1,1,1,1,2,2,2,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,护士,20,1,2,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,2,31,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,2,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,1,1,2,#NULL!,1,#NULL!,1,11,1,1,1,1,,2,1,#NULL!,,1,1,1,,1,,2,2,2,2,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,161,57.0,2,1,2,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,120,0,100,0,1,1,#NULL!,#NULL!,4,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,护士,21,1,2,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,2,20,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,2,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,1,2,2,1,1,1,2,30,1,1,1,1,,1,1,#NULL!,,1,1,1,,1,,2,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,161,57,2,1,2,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,120,0,5,120,0,5,1252,34.0,34.0,31.0,31.0,-1.2
321,SY-95,2018,1,6,2,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1968,8,20,49,1,1,,3,,3,3,3,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,1,#NULL!,#NULL!,2,2,,#NULL!,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,务农、零工,20,3,2,#NULL!,2,5,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,2,5,1,#NULL!,2,#NULL!,1,#NULL!,#NULL!,,1,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,2,2011,5,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,2,1,1,2,#NULL!,2,#NULL!,2,5,1,1,1,1,,1,1,#NULL!,,1,1,1,,1,,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,165,67.5,2,2,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,115,5,115,5,1,1,#NULL!,#NULL!,4,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,零工,21,3,2,#NULL!,2,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,2,6,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,,1,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,2,2011,5,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,2,2,1,2,1,2,1,2,7,1,1,1,1,,2,1,#NULL!,,2,1,1,,1,,1,2,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,165,65.5,2,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,115,0,5,115,0,5,1254,29.0,31.0,33.0,28.0,-0.1
322,SY-101,2018,1,6,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1964,3,5,53,3,1,,1,,4,2,2,2,2,1,1,2,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,1,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,车工,8,4,1,49,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,2,#NULL!,1,#NULL!,#NULL!,,1,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,1,2,2,1,1,1,1,#NULL!,#NULL!,1,1,1,,1,1,#NULL!,,1,1,1,,2,,1,2,3,1,3,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,156,54.0,2,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,100,0,100,0,1,1,#NULL!,#NULL!,4,#NULL!,,#NULL!,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,车工,8,4,1,49,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,2,8,1,#NULL!,#NULL!,,1,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,2,2,2,2,1,1,2,2,7,1,1,1,1,,1,1,#NULL!,,2,1,1,,1,,2,3,1,1,3,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,156,54,2,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,100,0,0,100,0,0,864,35.0,35.0,32.0,27.0,-2.7
